jira_account_id,measured_from,measured_to,assigned_issue_count,reported_issue_count,completed_issue_count,issue_type_mix,priority_mix,avg_cycle_time,overdue_issue_count,estimation_accuracy,worklog_hours,comment_count,avg_comment_response_time,collaboration_touchpoints,status_transition_count,avg_time_in_status,reopened_issue_count,scope_change_count,task_breakdown_count,sprint_participation,sprint_completion_rate,context_switching_score,autonomy_score,ownership_score,bottleneck_risk,fetched_at,fetch_status,error_message
jira-0056,2026-02-21,2026-05-22,21,3,18,Story:41%;Bug:25%;Task:26%;Tech Debt:8%,Highest:10%;High:26%;Medium:50%;Low:14%,7.2,0,0.86,95.6,25,22.1,14,66,3.1,1,6,0,SPR-2026-08;SPR-2026-10;SPR-2026-12;SPR-2026-07,0.857,77.7,62.8,83.4,14.3,2026-05-22T09:00:00+09:00,success,
jira-0068,2026-02-21,2026-05-22,24,10,24,Story:44%;Bug:21%;Task:13%;Tech Debt:15%;Incident:7%,Highest:5%;High:29%;Medium:49%;Low:17%,4.0,3,1.37,116.1,57,5.2,15,56,1.4,1,10,2,SPR-2026-08;SPR-2026-07;SPR-2026-09;SPR-2026-12,0.886,64.8,79.4,78.2,27.0,2026-05-22T09:00:00+09:00,success,
jira-0028,2026-02-21,2026-05-22,29,10,21,Story:39%;Bug:21%;Task:21%;Tech Debt:4%;Incident:15%,Highest:3%;High:24%;Medium:49%;Low:24%,5.2,0,0.81,160.6,58,11.4,10,108,1.8,1,7,5,SPR-2026-10;SPR-2026-09;SPR-2026-08;SPR-2026-12,0.776,72.4,66.1,79.0,16.9,2026-05-22T09:00:00+09:00,success,
jira-0032,2026-02-21,2026-05-22,15,5,16,Story:40%;Bug:24%;Task:21%;Tech Debt:8%;Incident:7%,Highest:8%;High:20%;Medium:55%;Low:17%,6.6,1,0.88,107.8,37,17.0,6,34,1.7,0,1,4,SPR-2026-11;SPR-2026-10;SPR-2026-07;SPR-2026-09,0.961,61.9,92.4,83.6,8.8,2026-05-22T09:00:00+09:00,success,
jira-0036,2026-02-21,2026-05-22,38,12,35,Story:36%;Bug:22%;Task:21%;Tech Debt:14%;Incident:7%,Highest:5%;High:23%;Medium:51%;Low:21%,5.6,4,1.07,127.7,74,12.3,8,100,1.6,1,5,9,SPR-2026-09;SPR-2026-08;SPR-2026-10;SPR-2026-12,0.982,62.8,68.0,86.7,32.1,2026-05-22T09:00:00+09:00,success,
jira-0052,2026-02-21,2026-05-22,31,10,24,Story:44%;Bug:27%;Task:20%;Tech Debt:9%,Highest:4%;High:25%;Medium:57%;Low:14%,9.0,1,0.66,151.6,69,7.2,7,68,3.7,2,5,3,SPR-2026-12;SPR-2026-08;SPR-2026-10,0.834,65.6,79.5,77.2,23.3,2026-05-22T09:00:00+09:00,success,
jira-0060,2026-02-21,2026-05-22,54,24,41,Story:42%;Bug:23%;Task:20%;Tech Debt:11%;Incident:4%,Highest:7%;High:24%;Medium:55%;Low:14%,3.9,3,0.93,116.4,110,8.2,14,191,0.9,1,12,8,SPR-2026-11;SPR-2026-09;SPR-2026-12;SPR-2026-07;SPR-2026-08,0.725,100,65.4,61.3,32.9,2026-05-22T09:00:00+09:00,success,
jira-0072,2026-02-21,2026-05-22,29,9,16,Story:45%;Bug:28%;Task:25%;Tech Debt:2%,Highest:12%;High:29%;Medium:51%;Low:8%,7.4,1,1.28,138.4,68,1,9,82,2.6,0,5,5,SPR-2026-10;SPR-2026-12;SPR-2026-09;SPR-2026-08,0.556,55.4,80.2,68.1,28.3,2026-05-22T09:00:00+09:00,success,
jira-0080,2026-02-21,2026-05-22,38,19,24,Story:43%;Bug:20%;Task:18%;Tech Debt:19%,Highest:16%;High:20%;Medium:48%;Low:16%,6.5,2,1.3,103.8,79,1.9,11,130,2.5,0,10,6,SPR-2026-10;SPR-2026-12;SPR-2026-08;SPR-2026-09;SPR-2026-11,0.586,80.7,67.9,66.6,38.0,2026-05-22T09:00:00+09:00,success,
jira-0044,2026-02-21,2026-05-22,41,9,28,Story:39%;Bug:17%;Task:18%;Tech Debt:12%;Incident:14%,Highest:12%;High:26%;Medium:52%;Low:10%,5.8,3,1.2,68.2,81,24.6,7,148,1.5,3,11,9,SPR-2026-10;SPR-2026-12;SPR-2026-11,0.661,87.3,60.5,84.9,42.0,2026-05-22T09:00:00+09:00,success,
jira-0064,2026-02-21,2026-05-22,16,6,16,Story:43%;Bug:22%;Task:14%;Tech Debt:15%;Incident:6%,Highest:10%;High:24%;Medium:53%;Low:13%,9.1,0,1.13,143.1,15,1.7,14,36,3.1,1,0,5,SPR-2026-09;SPR-2026-08;SPR-2026-07;SPR-2026-10,1.07,54.4,84.3,88.1,7.3,2026-05-22T09:00:00+09:00,success,
jira-0016,2026-02-21,2026-05-22,24,8,21,Story:45%;Bug:21%;Task:20%;Tech Debt:14%,Highest:13%;High:22%;Medium:51%;Low:14%,5.3,0,0.87,116.2,43,12.5,15,70,1.9,1,9,7,SPR-2026-08;SPR-2026-09;SPR-2026-11,0.856,60.9,65.8,45.8,13.8,2026-05-22T09:00:00+09:00,success,
jira-0076,2026-02-21,2026-05-22,21,6,12,Story:44%;Bug:28%;Task:20%;Tech Debt:8%,Highest:11%;High:23%;Medium:51%;Low:15%,6.8,1,1.02,123.9,49,7.2,14,69,2.8,0,8,6,SPR-2026-07;SPR-2026-12;SPR-2026-09,0.589,52.1,70.8,59.8,28.5,2026-05-22T09:00:00+09:00,success,
jira-0087,2026-02-21,2026-05-22,22,7,18,Test Case:33%;Bug:35%;Regression:13%;Automation Task:19%,Highest:9%;High:20%;Medium:45%;Low:26%,4.5,2,0.96,105.1,61,11.9,6,48,1.5,1,3,3,SPR-2026-11;SPR-2026-07;SPR-2026-09;SPR-2026-12;SPR-2026-08,0.747,69.1,79.1,70.1,22.0,2026-05-22T09:00:00+09:00,success,
jira-0089,2026-02-21,2026-05-22,42,21,27,Test Case:40%;Bug:39%;Regression:12%;Automation Task:9%,Highest:10%;High:26%;Medium:58%;Low:6%,3.7,3,1.1,84.5,104,29.0,4,149,1.6,3,0,8,SPR-2026-12;SPR-2026-07;SPR-2026-11,0.585,100,69.7,74.3,45.1,2026-05-22T09:00:00+09:00,success,
jira-0083,2026-02-21,2026-05-22,31,17,27,Test Case:32%;Bug:38%;Regression:17%;Automation Task:13%,Highest:11%;High:26%;Medium:53%;Low:10%,2.4,0,0.76,112.9,85,11.4,6,67,0.5,1,11,4,SPR-2026-11;SPR-2026-12;SPR-2026-10;SPR-2026-08;SPR-2026-07,0.897,99.7,86.6,69.7,0,2026-05-22T09:00:00+09:00,success,
jira-0091,2026-02-21,2026-05-22,40,22,24,Test Case:38%;Bug:43%;Regression:14%;Automation Task:5%,Highest:11%;High:23%;Medium:55%;Low:11%,3.6,6,1.08,107.4,103,20.2,5,131,1.5,0,13,8,SPR-2026-07;SPR-2026-10;SPR-2026-12;SPR-2026-09;SPR-2026-11,0.599,92.0,82.4,60.4,46.9,2026-05-22T09:00:00+09:00,success,
jira-0093,2026-02-21,2026-05-22,43,23,29,Test Case:37%;Bug:38%;Regression:18%;Automation Task:7%,Highest:9%;High:19%;Medium:51%;Low:21%,5.5,1,0.91,128.2,108,5.7,9,119,1.3,0,9,10,SPR-2026-09;SPR-2026-11;SPR-2026-07;SPR-2026-08;SPR-2026-10,0.663,55.8,69.4,77.0,36.4,2026-05-22T09:00:00+09:00,success,
jira-0095,2026-02-21,2026-05-22,19,10,15,Test Case:37%;Bug:42%;Regression:20%;Automation Task:1%,Highest:9%;High:28%;Medium:52%;Low:11%,4.7,1,0.84,125.5,39,14.8,10,52,1.1,1,6,1,SPR-2026-12;SPR-2026-11;SPR-2026-07;SPR-2026-10;SPR-2026-09,0.823,83.2,74.2,64.8,15.2,2026-05-22T09:00:00+09:00,success,
jira-0099,2026-02-21,2026-05-22,49,27,35,Test Case:35%;Bug:38%;Regression:14%;Automation Task:13%,Highest:3%;High:23%;Medium:54%;Low:20%,3.5,6,1.2,119.4,113,6.4,6,147,1.6,2,6,14,SPR-2026-07;SPR-2026-10;SPR-2026-12,0.673,82.5,59.3,77.4,51.6,2026-05-22T09:00:00+09:00,success,
jira-0097,2026-02-21,2026-05-22,48,24,32,Test Case:36%;Bug:39%;Regression:21%;Automation Task:4%,Highest:2%;High:24%;Medium:52%;Low:22%,5.1,7,0.99,58.4,116,19.7,1,144,1.3,0,15,8,SPR-2026-07;SPR-2026-09;SPR-2026-08;SPR-2026-11;SPR-2026-12,0.705,89.6,68.6,78.8,62.7,2026-05-22T09:00:00+09:00,success,
jira-0085,2026-02-21,2026-05-22,48,26,30,Test Case:31%;Bug:39%;Regression:11%;Automation Task:19%,Highest:7%;High:23%;Medium:51%;Low:19%,2.0,4,1.12,129.0,113,24.8,10,136,0.7,1,3,11,SPR-2026-07;SPR-2026-09;SPR-2026-12,0.578,77.1,36.1,87.8,34.4,2026-05-22T09:00:00+09:00,success,
jira-0094,2026-02-21,2026-05-22,39,28,29,Test Case:38%;Bug:38%;Regression:13%;Automation Task:11%,Highest:8%;High:24%;Medium:54%;Low:14%,2.7,0,0.86,115.8,84,31.5,7,133,1.2,1,8,4,SPR-2026-10;SPR-2026-11;SPR-2026-09,0.773,90.7,74.9,78.0,20.8,2026-05-22T09:00:00+09:00,success,
jira-0098,2026-02-21,2026-05-22,21,9,18,Test Case:39%;Bug:39%;Regression:14%;Automation Task:8%,Highest:14%;High:18%;Medium:57%;Low:11%,8.6,1,1.19,85.9,41,18.2,12,66,2.3,0,5,1,SPR-2026-09;SPR-2026-10;SPR-2026-12,0.91,65.2,67.0,64.0,27.8,2026-05-22T09:00:00+09:00,success,
jira-0084,2026-02-21,2026-05-22,27,19,25,Test Case:37%;Bug:41%;Regression:17%;Automation Task:5%,Highest:10%;High:23%;Medium:51%;Low:16%,6.5,3,1.01,80.1,56,21.9,10,90,2.1,0,5,4,SPR-2026-07;SPR-2026-08;SPR-2026-09,0.831,84.0,76.5,59.7,29.8,2026-05-22T09:00:00+09:00,success,
jira-0086,2026-02-21,2026-05-22,28,20,20,Test Case:35%;Bug:45%;Regression:15%;Automation Task:5%,Highest:10%;High:24%;Medium:51%;Low:15%,3.0,2,1.1,102.7,70,8.0,7,84,1.0,0,0,0,SPR-2026-08;SPR-2026-09;SPR-2026-11;SPR-2026-07,0.692,60.3,81.3,71.2,26.3,2026-05-22T09:00:00+09:00,success,
jira-0090,2026-02-21,2026-05-22,38,24,36,Test Case:33%;Bug:37%;Regression:15%;Automation Task:15%,Highest:9%;High:19%;Medium:51%;Low:21%,3.7,2,0.85,83.9,97,1.3,10,141,1.6,3,1,6,SPR-2026-07;SPR-2026-09;SPR-2026-10;SPR-2026-11;SPR-2026-08,0.975,78.8,70.2,77.6,13.3,2026-05-22T09:00:00+09:00,success,
jira-0088,2026-02-21,2026-05-22,42,21,31,Test Case:34%;Bug:41%;Regression:12%;Automation Task:13%,Highest:8%;High:23%;Medium:59%;Low:10%,3.0,6,1.3,98.5,88,12.8,8,116,0.7,0,8,11,SPR-2026-08;SPR-2026-12;SPR-2026-07,0.731,88.7,73.5,71.4,44.2,2026-05-22T09:00:00+09:00,success,
jira-0092,2026-02-21,2026-05-22,53,33,43,Test Case:37%;Bug:41%;Regression:15%;Automation Task:7%,Highest:3%;High:22%;Medium:59%;Low:16%,4.7,4,0.73,73.3,119,21.4,12,168,1.3,1,17,11,SPR-2026-07;SPR-2026-10;SPR-2026-12;SPR-2026-08,0.751,85.6,79.6,73.5,36.8,2026-05-22T09:00:00+09:00,success,
jira-0100,2026-02-21,2026-05-22,24,9,15,Test Case:32%;Bug:42%;Regression:10%;Automation Task:16%,Highest:14%;High:26%;Medium:53%;Low:7%,3.8,1,1.2,104.5,57,6.3,7,61,1.2,1,6,8,SPR-2026-08;SPR-2026-09;SPR-2026-11;SPR-2026-07,0.582,79.3,63.8,87.8,14.5,2026-05-22T09:00:00+09:00,success,
jira-0096,2026-02-21,2026-05-22,30,19,23,Test Case:36%;Bug:38%;Regression:13%;Automation Task:13%,Highest:8%;High:18%;Medium:48%;Low:26%,7.7,2,1.14,104.3,72,10.7,10,80,1.8,0,11,9,SPR-2026-10;SPR-2026-11;SPR-2026-08;SPR-2026-09,0.681,60.2,65.8,68.3,15.4,2026-05-22T09:00:00+09:00,success,
